1,Trivandrum Cntl,1,Source,Source,No Delay,10:30 PM,10:35 PM,5 Mins, 0 Kms,16343,2018-01-01
2,Varkalasivagiri,1,11:04 PM,11:24 PM,20 Mins,11:05 PM,11:25 PM,20 Mins, 41 Kms,16343,2018-01-01
3,Kollam Jn,2,11:30 PM,11:58 PM,28 Mins,11:35 PM,12:03 AM,28 Mins, 64 Kms,16343,2018-01-01
4,Karunagapalli,2,11:58 PM,12:35 AM,37 Mins,11:59 PM,12:36 AM,37 Mins, 91 Kms,16343,2018-01-01
5,Kayankulam Jn,2,12:19 AM,01:42 AM,1 Hr 23 Mins,12:20 AM,01:44 AM,1 Hr 24 Mins, 105 Kms,16343,2018-01-01
6,Mavelikara,2,12:30 AM,01:54 AM,1 Hr 24 Mins,12:31 AM,01:56 AM,1 Hr 25 Mins, 113 Kms,16343,2018-01-01
7,Chengannur,2,12:41 AM,02:11 AM,1 Hr 30 Mins,12:43 AM,02:14 AM,1 Hr 31 Mins, 125 Kms,16343,2018-01-01
8,Tiruvalla,2,12:53 AM,02:26 AM,1 Hr 33 Mins,12:54 AM,02:28 AM,1 Hr 34 Mins, 134 Kms,16343,2018-01-01
9,Changanaseri,2,01:04 AM,02:37 AM,1 Hr 33 Mins,01:05 AM,02:38 AM,1 Hr 33 Mins, 142 Kms,16343,2018-01-01
10,Kottayam,2,01:25 AM,03:00 AM,1 Hr 35 Mins,01:28 AM,03:03 AM,1 Hr 35 Mins, 160 Kms,16343,2018-01-01
11,Ernakulam Town,2,02:55 AM,04:13 AM,1 Hr 18 Mins,03:00 AM,04:18 AM,1 Hr 18 Mins, 223 Kms,16343,2018-01-01
12,Idaplli,2,03:11 AM,04:31 AM,1 Hr 20 Mins,03:12 AM,04:32 AM,1 Hr 20 Mins, 229 Kms,16343,2018-01-01
13,Aluva,2,03:28 AM,04:48 AM,1 Hr 20 Mins,03:30 AM,04:50 AM,1 Hr 20 Mins, 240 Kms,16343,2018-01-01
14,Thrisur,2,04:17 AM,05:45 AM,1 Hr 28 Mins,04:20 AM,05:47 AM,1 Hr 27 Mins, 294 Kms,16343,2018-01-01
15,Shoranur Jn,2,05:30 AM,06:22 AM,52 Mins,05:40 AM,06:45 AM,1 Hr 5 Mins, 327 Kms,16343,2018-01-01
16,Ottappalam,2,05:58 AM,07:00 AM,1 Hr 2 Mins,06:00 AM,07:01 AM,1 Hr 1 Min, 336 Kms,16343,2018-01-01
17,Palakkad Jn,2,07:15 AM,07:30 AM,15 Mins,07:30 AM,08:13 AM,43 Mins, 367 Kms,16343,2018-01-01
18,Palghat Town,2,07:45 AM,08:25 AM,40 Mins,07:50 AM,08:30 AM,40 Mins, 371 Kms,16343,2018-01-01
19,Pollachi Jn,2,09:05 AM,09:20 AM,15 Mins,09:10 AM,09:47 AM,37 Mins, 425 Kms,16343,2018-01-01
20,Palani,2,10:28 AM,10:53 AM,25 Mins,10:30 AM,10:57 AM,27 Mins, 488 Kms,16343,2018-01-01
21,Dindigul Jn,2,11:43 AM,12:02 PM,19 Mins,11:45 AM,12:05 PM,20 Mins, 546 Kms,16343,2018-01-01
1,Trivandrum Cntl,1,Source,Source,No Delay,10:30 PM,10:30 PM,No Delay, 0 Kms,16343,2018-01-02
2,Varkalasivagiri,1,11:04 PM,11:18 PM,14 Mins,11:05 PM,11:19 PM,14 Mins, 41 Kms,16343,2018-01-02
3,Kollam Jn,1,11:30 PM,11:51 PM,21 Mins,11:35 PM,11:55 PM,20 Mins, 64 Kms,16343,2018-01-02
4,Karunagapalli,2,11:58 PM,12:29 AM,31 Mins,11:59 PM,12:30 AM,31 Mins, 91 Kms,16343,2018-01-02
5,Kayankulam Jn,2,12:19 AM,01:12 AM,53 Mins,12:20 AM,01:14 AM,54 Mins, 105 Kms,16343,2018-01-02
6,Mavelikara,2,12:30 AM,01:25 AM,55 Mins,12:31 AM,01:27 AM,56 Mins, 113 Kms,16343,2018-01-02
7,Chengannur,2,12:41 AM,01:42 AM,1 Hr 1 Min,12:43 AM,01:45 AM,1 Hr 2 Mins, 125 Kms,16343,2018-01-02
8,Tiruvalla,2,12:53 AM,02:00 AM,1 Hr 7 Mins,12:54 AM,02:11 AM,1 Hr 17 Mins, 134 Kms,16343,2018-01-02
9,Changanaseri,2,01:04 AM,02:22 AM,1 Hr 18 Mins,01:05 AM,02:23 AM,1 Hr 18 Mins, 142 Kms,16343,2018-01-02
10,Kottayam,2,01:25 AM,02:45 AM,1 Hr 20 Mins,01:28 AM,02:48 AM,1 Hr 20 Mins, 160 Kms,16343,2018-01-02
11,Ernakulam Town,2,02:55 AM,04:07 AM,1 Hr 12 Mins,03:00 AM,04:12 AM,1 Hr 12 Mins, 223 Kms,16343,2018-01-02
12,Idaplli,2,03:11 AM,04:23 AM,1 Hr 12 Mins,03:12 AM,04:24 AM,1 Hr 12 Mins, 229 Kms,16343,2018-01-02
13,Aluva,2,03:28 AM,04:40 AM,1 Hr 12 Mins,03:30 AM,04:42 AM,1 Hr 12 Mins, 240 Kms,16343,2018-01-02
14,Thrisur,2,04:17 AM,05:32 AM,1 Hr 15 Mins,04:20 AM,05:35 AM,1 Hr 15 Mins, 294 Kms,16343,2018-01-02
15,Shoranur Jn,2,05:30 AM,06:20 AM,50 Mins,05:40 AM,06:35 AM,55 Mins, 327 Kms,16343,2018-01-02
16,Ottappalam,2,05:58 AM,06:48 AM,50 Mins,06:00 AM,06:50 AM,50 Mins, 336 Kms,16343,2018-01-02
17,Palakkad Jn,2,07:15 AM,07:17 AM,2 Mins,07:30 AM,08:00 AM,30 Mins, 367 Kms,16343,2018-01-02
18,Palghat Town,2,07:45 AM,08:12 AM,27 Mins,07:50 AM,08:17 AM,27 Mins, 371 Kms,16343,2018-01-02
19,Pollachi Jn,2,09:05 AM,09:12 AM,7 Mins,09:10 AM,09:17 AM,7 Mins, 425 Kms,16343,2018-01-02
20,Palani,2,10:28 AM,10:39 AM,11 Mins,10:30 AM,10:42 AM,12 Mins, 488 Kms,16343,2018-01-02
21,Dindigul Jn,2,11:43 AM,11:53 AM,10 Mins,11:45 AM,11:55 AM,10 Mins, 546 Kms,16343,2018-01-02
1,Trivandrum Cntl,1,Source,Source,No Delay,10:30 PM,10:30 PM,No Delay, 0 Kms,16343,2018-01-03
2,Varkalasivagiri,1,11:04 PM,11:15 PM,11 Mins,11:05 PM,11:16 PM,11 Mins, 41 Kms,16343,2018-01-03
3,Kollam Jn,1,11:30 PM,11:48 PM,18 Mins,11:35 PM,11:53 PM,18 Mins, 64 Kms,16343,2018-01-03
4,Karunagapalli,2,11:58 PM,12:22 AM,24 Mins,11:59 PM,12:23 AM,24 Mins, 91 Kms,16343,2018-01-03
5,Kayankulam Jn,2,12:19 AM,01:10 AM,51 Mins,12:20 AM,01:12 AM,52 Mins, 105 Kms,16343,2018-01-03
6,Mavelikara,2,12:30 AM,01:21 AM,51 Mins,12:31 AM,01:22 AM,51 Mins, 113 Kms,16343,2018-01-03
7,Chengannur,2,12:41 AM,01:37 AM,56 Mins,12:43 AM,01:39 AM,56 Mins, 125 Kms,16343,2018-01-03
8,Tiruvalla,2,12:53 AM,01:50 AM,57 Mins,12:54 AM,01:51 AM,57 Mins, 134 Kms,16343,2018-01-03
9,Changanaseri,2,01:04 AM,02:02 AM,58 Mins,01:05 AM,02:03 AM,58 Mins, 142 Kms,16343,2018-01-03
10,Kottayam,2,01:25 AM,02:25 AM,1 Hr,01:28 AM,02:28 AM,1 Hr, 160 Kms,16343,2018-01-03
11,Ernakulam Town,2,02:55 AM,03:35 AM,40 Mins,03:00 AM,03:40 AM,40 Mins, 223 Kms,16343,2018-01-03
12,Idaplli,2,03:11 AM,03:53 AM,42 Mins,03:12 AM,03:54 AM,42 Mins, 229 Kms,16343,2018-01-03
13,Aluva,2,03:28 AM,04:12 AM,44 Mins,03:30 AM,04:14 AM,44 Mins, 240 Kms,16343,2018-01-03
14,Thrisur,2,04:17 AM,05:03 AM,46 Mins,04:20 AM,05:07 AM,47 Mins, 294 Kms,16343,2018-01-03
15,Shoranur Jn,2,05:30 AM,05:48 AM,18 Mins,05:40 AM,06:07 AM,27 Mins, 327 Kms,16343,2018-01-03
16,Ottappalam,2,05:58 AM,06:26 AM,28 Mins,06:00 AM,06:27 AM,27 Mins, 336 Kms,16343,2018-01-03
17,Palakkad Jn,2,07:15 AM,06:50 AM,25M Before,07:30 AM,07:38 AM,8 Mins, 367 Kms,16343,2018-01-03
18,Palghat Town,2,07:45 AM,07:50 AM,5 Mins,07:50 AM,07:55 AM,5 Mins, 371 Kms,16343,2018-01-03
19,Pollachi Jn,2,09:05 AM,08:48 AM,17M Before,09:10 AM,09:10 AM,No Delay, 425 Kms,16343,2018-01-03
20,Palani,2,10:28 AM,10:18 AM,10M Before,10:30 AM,10:35 AM,5 Mins, 488 Kms,16343,2018-01-03
21,Dindigul Jn,2,11:43 AM,11:45 AM,2 Mins,11:45 AM,11:47 AM,2 Mins, 546 Kms,16343,2018-01-03
1,Trivandrum Cntl,1,Source,Source,No Delay,10:30 PM,10:30 PM,No Delay, 0 Kms,16343,2018-01-04
2,Varkalasivagiri,1,11:04 PM,11:23 PM,19 Mins,11:05 PM,11:24 PM,19 Mins, 41 Kms,16343,2018-01-04
3,Kollam Jn,1,11:30 PM,11:55 PM,25 Mins,11:35 PM,11:59 PM,24 Mins, 64 Kms,16343,2018-01-04
4,Karunagapalli,2,11:58 PM,12:29 AM,31 Mins,11:59 PM,12:30 AM,31 Mins, 91 Kms,16343,2018-01-04
5,Kayankulam Jn,2,12:19 AM,12:51 AM,32 Mins,12:20 AM,12:52 AM,32 Mins, 105 Kms,16343,2018-01-04
6,Mavelikara,2,12:30 AM,01:02 AM,32 Mins,12:31 AM,01:03 AM,32 Mins, 113 Kms,16343,2018-01-04
7,Chengannur,2,12:41 AM,01:16 AM,35 Mins,12:43 AM,01:19 AM,36 Mins, 125 Kms,16343,2018-01-04
8,Tiruvalla,2,12:53 AM,01:31 AM,38 Mins,12:54 AM,01:33 AM,39 Mins, 134 Kms,16343,2018-01-04
