1,Jabalpur,1,Source,Source,No Delay,07:30 PM,07:30 PM,No Delay, 0 Kms,01656
2,Madan Mahal,1,07:36 PM,07:40 PM,4 Mins,07:38 PM,07:42 PM,4 Mins, 3 Kms,01656
3,Narsinghpur,1,08:33 PM,08:40 PM,7 Mins,08:35 PM,08:42 PM,7 Mins, 84 Kms,01656
4,Pipariya,1,09:53 PM,09:55 PM,2 Mins,09:55 PM,10:02 PM,7 Mins, 177 Kms,01656
5,Itarsi Jn,2,11:35 PM,11:50 PM,15 Mins,11:45 PM,12:20 AM,35 Mins, 245 Kms,01656
6,Harda,2,12:36 AM,01:31 AM,55 Mins,12:38 AM,01:33 AM,55 Mins, 320 Kms,01656
7,Khandwa,2,02:15 AM,02:58 AM,43 Mins,02:20 AM,03:04 AM,44 Mins, 428 Kms,01656
8,Bhusaval Jn,2,04:00 AM,04:40 AM,40 Mins,04:10 AM,04:57 AM,47 Mins, 551 Kms,01656
9,Manmad Jn,2,06:45 AM,07:25 AM,40 Mins,06:50 AM,07:47 AM,57 Mins, 735 Kms,01656
10,Kopargaon,2,07:53 AM,08:31 AM,38 Mins,07:55 AM,08:35 AM,40 Mins, 777 Kms,01656
11,Ahmadnagar,2,09:57 AM,11:36 AM,1 Hr 39 Mins,10:00 AM,11:37 AM,1 Hr 37 Mins, 888 Kms,01656
12,Daund Jn,2,12:10 PM,02:22 PM,2 Hrs 12 Mins,12:25 PM,02:22 PM,1 Hr 57 Mins, 972 Kms,01656
1,Atari,1,Source,Source,No Delay,02:45 PM,04:30 PM,1 Hr 45 Mins, 0 Kms,01708
2,Amritsar Jn,1,03:40 PM,05:05 PM,1 Hr 25 Mins,03:50 PM,05:15 PM,1 Hr 25 Mins, 25 Kms,01708
3,Beas,1,04:20 PM,05:50 PM,1 Hr 30 Mins,04:22 PM,05:52 PM,1 Hr 30 Mins, 67 Kms,01708
4,Jalandhar City,1,04:55 PM,06:16 PM,1 Hr 21 Mins,05:00 PM,06:21 PM,1 Hr 21 Mins, 103 Kms,01708
5,Ludhiana Jn,1,06:00 PM,07:02 PM,1 Hr 2 Mins,06:10 PM,07:18 PM,1 Hr 8 Mins, 160 Kms,01708
6,Ambala Cant Jn,1,09:10 PM,09:46 PM,36 Mins,09:15 PM,09:47 PM,32 Mins, 274 Kms,01708
